biogrid_id,entrez_a,entrez_b,gene_a,gene_b,in_glycolysis_a,in_glycolysis_b,interaction_pair
565684,5460,2597,POU5F1,GAPDH,0,1,2597 :: 5460
566050,51377,5315,UCHL5,PKM,0,1,51377 :: 5315
566082,51377,7167,UCHL5,TPI1,0,1,51377 :: 7167
566629,22938,5211,SNW1,PFKL,0,1,22938 :: 5211
566685,5562,5519,PRKAA1,PPP2R1B,0,1,5519 :: 5562
566686,5562,5515,PRKAA1,PPP2CA,0,1,5515 :: 5562
567730,920,2023,CD4,ENO1,0,1,2023 :: 920
567740,920,2597,CD4,GAPDH,0,1,2597 :: 920
569672,5519,5898,PPP2R1B,RALA,1,0,5519 :: 5898
569676,5898,5515,RALA,PPP2CA,0,1,5515 :: 5898
569688,5519,29966,PPP2R1B,STRN3,1,0,29966 :: 5519
569689,5519,983,PPP2R1B,CDK1,1,0,5519 :: 983
569690,5519,1019,PPP2R1B,CDK4,1,0,1019 :: 5519
569691,5519,3065,PPP2R1B,HDAC1,1,0,3065 :: 5519
569693,5518,983,PPP2R1A,CDK1,1,0,5518 :: 983
569694,5518,1019,PPP2R1A,CDK4,1,0,1019 :: 5518
569695,5518,3065,PPP2R1A,HDAC1,1,0,3065 :: 5518
569703,5518,4172,PPP2R1A,MCM3,1,0,4172 :: 5518
569705,5518,5052,PPP2R1A,PRDX1,1,0,5052 :: 5518
569706,5518,7001,PPP2R1A,PRDX2,1,0,5518 :: 7001
569707,5518,11315,PPP2R1A,PARK7,1,0,11315 :: 5518
569708,5518,22931,PPP2R1A,RAB18,1,0,22931 :: 5518
569709,5518,7879,PPP2R1A,RAB7A,1,0,5518 :: 7879
569710,5518,8766,PPP2R1A,RAB11A,1,0,5518 :: 8766
569712,5518,1938,PPP2R1A,EEF2,1,0,1938 :: 5518
569713,5519,4172,PPP2R1B,MCM3,1,0,4172 :: 5519
569715,5519,5052,PPP2R1B,PRDX1,1,0,5052 :: 5519
569716,5519,7001,PPP2R1B,PRDX2,1,0,5519 :: 7001
569717,5519,11315,PPP2R1B,PARK7,1,0,11315 :: 5519
569718,5519,22931,PPP2R1B,RAB18,1,0,22931 :: 5519
569719,5519,7879,PPP2R1B,RAB7A,1,0,5519 :: 7879
569720,5519,8766,PPP2R1B,RAB11A,1,0,5519 :: 8766
569722,5519,1938,PPP2R1B,EEF2,1,0,1938 :: 5519
569724,5519,308,PPP2R1B,ANXA5,1,0,308 :: 5519
569725,5519,2260,PPP2R1B,FGFR1,1,0,2260 :: 5519
569727,5519,6774,PPP2R1B,STAT3,1,0,5519 :: 6774
569728,5518,5906,PPP2R1A,RAP1A,1,0,5518 :: 5906
569729,5518,10393,PPP2R1A,ANAPC10,1,0,10393 :: 5518
569730,5518,8717,PPP2R1A,TRADD,1,0,5518 :: 8717
569943,773,226,CACNA1A,ALDOA,0,1,226 :: 773
570194,10014,5518,HDAC5,PPP2R1A,0,1,10014 :: 5518
570258,10014,5516,HDAC5,PPP2CB,0,1,10014 :: 5516
570268,10014,7167,HDAC5,TPI1,0,1,10014 :: 7167
570308,10014,226,HDAC5,ALDOA,0,1,10014 :: 226
570330,10014,5315,HDAC5,PKM,0,1,10014 :: 5315
573974,5518,10273,PPP2R1A,STUB1,1,0,10273 :: 5518
574132,8312,5515,AXIN1,PPP2CA,0,1,5515 :: 8312
574138,4609,5515,MYC,PPP2CA,0,1,4609 :: 5515
574361,9971,2597,NR1H4,GAPDH,0,1,2597 :: 9971
574402,3174,2597,HNF4G,GAPDH,0,1,2597 :: 3174
574691,23411,2597,SIRT1,GAPDH,0,1,23411 :: 2597
574806,7534,2023,YWHAZ,ENO1,0,1,2023 :: 7534
574969,57787,5518,MARK4,PPP2R1A,0,1,5518 :: 57787
574977,57787,5516,MARK4,PPP2CB,0,1,5516 :: 57787
589830,51141,2023,INSIG2,ENO1,0,1,2023 :: 51141
590705,5595,5515,MAPK3,PPP2CA,0,1,5515 :: 5595
590770,5111,2597,PCNA,GAPDH,0,1,2597 :: 5111
590771,5111,226,PCNA,ALDOA,0,1,226 :: 5111
590772,5111,2023,PCNA,ENO1,0,1,2023 :: 5111
590780,5111,5223,PCNA,PGAM1,0,1,5111 :: 5223
590796,5111,2645,PCNA,GCK,0,1,2645 :: 5111
590797,5111,2821,PCNA,GPI,0,1,2821 :: 5111
590798,5111,5213,PCNA,PFKM,0,1,5111 :: 5213
